,Seed,Region,Team,Opponent,Team Score,Opponent Score,Result,Year,Round,team_game_result,fg_pct,fg3_pct,ft_pct,efg_pct,fga,fg3a,fta,orb,drb,tov,opp_name_abbr,pt_diff
39,8,midwest,Utah State,Washington,61,78,0,2019,1,5,1.0020639405204461,0.9363375858684987,1.0209290870488326,0.8625595854922282,0.9509814084507044,1.4072717536813926,0.9800898395721926,0.8470864197530865,1.0772723492723493,0.9289111617312076,"['Nevada', 'Colorado State', 'New Mexico', 'Fresno State', 'San Diego State']",1.7763200000000001
40,12,midwest,New Mexico State,Auburn,77,78,0,2019,1,5,1.1417397769516733,1.013059273422562,1.106671304347826,1.1447041965199591,1.2054227544910183,0.8345098039215686,1.071202359882006,0.8579146919431283,1.1563777019340162,0.9536390243902442,"['Chicago State', 'California Baptist', 'Chicago State', 'Texasâ\x80\x93Rio Grande Valley', 'Grand Canyon']",5.48224
41,13,midwest,Northeastern,Kansas,53,87,0,2019,1,5,1.1136084955752215,0.9693090909090911,1.0920336134453783,1.0536988344988347,1.1134157068062829,0.9375848580441641,0.9008404793608523,0.7342698564593302,0.9588170426065163,0.7601136612021858,"['Delaware', 'Drexel', 'UNC Wilmington', 'College of Charleston', 'Hofstra']",2.3462400000000003
42,6,midwest,Iowa State,Ohio State,59,62,0,2019,1,3,0.9510598540145987,0.9911480214948706,0.9547193277310927,0.9622194821208387,0.9546931129476587,1.168169105691057,0.9418054644808744,1.1921690140845076,0.9710834312573445,1.2142293333333336,"['West Virginia', 'Texas Tech', 'Baylor', 'Kansas State', 'Kansas']",-0.3289600000000002
43,14,midwest,Georgia State,Houston,55,84,0,2019,1,5,0.9744618784530388,0.9645495934959352,0.9454291938997822,1.0579818393480793,1.0231166666666667,1.1101048991354467,1.0274570570570571,1.0112531120331953,1.0704718870346601,0.9566994764397907,"['Arkansas State', 'Little Rock', 'Georgia Southern', 'Texas State', 'UT Arlington']",2.4809600000000005
44,10,midwest,Seton Hall,Wofford,68,84,0,2019,1,4,0.9447791583166335,1.033007817911925,0.952003644646925,1.0360960863697708,0.8653037037037039,1.1762731707317073,1.0313382436260623,1.131308737864078,1.0053473158551811,0.7178928746928747,"['Marquette', 'Villanova', 'Georgetown', 'Marquette', 'Villanova']",1.2128000000000003
45,15,midwest,Abilene Christian,Kentucky,44,79,0,2019,1,5,1.0080418691588786,1.0198220826792257,0.9954422174840089,1.103495757575758,1.0107326315789475,0.6770342679127728,1.1644022471910116,0.7519453924914677,1.1750251366120223,0.8527269035532996,"['Central Arkansas', 'Stephen F. Austin', 'Incarnate Word', 'Southeastern Louisiana', 'New Orleans']",2.7881600000000004
46,1,midwest,North Carolina,Washington,81,59,1,2019,2,4,0.9239742911153122,1.016651950207469,0.899644827586207,1.1751201856148494,0.9123801104972378,0.9487384615384618,0.9065453566621804,0.9969657831325303,0.9845016299137107,0.825971612903226,"['Clemson', 'Boston College', 'Duke', 'Louisville', 'Duke']",1.03648
47,5,midwest,Auburn,Kansas,89,75,1,2019,2,5,1.0393546961325966,0.9307945879458797,0.9927324444444445,1.142857142857143,1.02968275862069,1.0244210526315791,1.042043319268636,0.7168627450980393,0.9099526066350712,0.57964113785558,"['Tennessee', 'Missouri', 'South Carolina', 'Florida', 'Tennessee']",1.65888
48,3,midwest,Houston,Ohio State,74,59,1,2019,2,4,1.000878310940499,1.0618378574670906,0.9961399103139015,1.0567105431309909,1.039963943661972,0.9110175035868008,0.9531425320056901,1.24349898989899,0.8520877846790893,0.9271142857142859,"['SMU', 'Cincinnati', 'Connecticut', 'Memphis', 'Cincinnati']",1.8432000000000002
49,2,midwest,Kentucky,Wofford,62,56,1,2019,2,3,0.8887426415094342,0.907579317073171,0.8868897274633126,0.8655683690280067,1.0042892655367235,1.0433396973224682,0.9303815967523682,0.7747410526315791,1.0389043841336119,1.0112246696035243,"['Tennessee', 'Ole Miss', 'Florida', 'Alabama', 'Tennessee']",-0.8281600000000001
50,9,midwest,Washington,North Carolina,59,81,0,2019,2,3,1.0080921305182344,0.96359263803681,0.9912798226164081,1.0464738461538463,1.0281188571428574,1.0725985272459502,0.9723004316546765,0.8904427046263348,0.9149629629629629,0.9197459227467812,"['Oregon State', 'Oregon', 'Southern California', 'Colorado', 'Oregon']",-0.31743999999999994
51,4,midwest,Kansas,Auburn,75,89,0,2019,2,3,0.9001825095057037,1.0893924812030076,0.9222124731182796,1.0923068640646032,0.7523245714285716,0.8103178002894358,0.9495920567375891,1.1833714285714285,1.0459622481442208,1.0294493723849374,"['Oklahoma', 'Baylor', 'Texas', 'West Virginia', 'Iowa State']",-0.7283200000000003
52,11,midwest,Ohio State,Houston,59,74,0,2019,2,1,0.8560381709741551,0.9965737959606422,0.8683576036866361,1.011328165374677,0.7492598240469209,1.0112738461538464,1.0249678474114443,0.8636845878136203,0.8568200238379022,0.9026573426573427,"['Purdue', 'Northwestern', 'Wisconsin', 'Indiana', 'Michigan State']",-3.54144
53,7,midwest,Wofford,Kentucky,56,62,0,2019,2,5,1.0076524137931036,0.9495834896810509,1.010370612244898,0.9328310010764265,1.0322241545893724,1.1304818024263437,0.9856795454545457,0.8092903225806453,1.0794134615384618,1.00815512465374,"['Chattanooga', 'Samford', 'VMI', 'East Tennessee State', 'UNC Greensboro']",4.0192000000000005
54,5,midwest,Auburn,North Carolina,97,80,1,2019,3,5,1.0393546961325966,0.9307945879458797,0.9927324444444445,1.142857142857143,1.02968275862069,1.0244210526315791,1.042043319268636,0.7168627450980393,0.9099526066350712,0.57964113785558,"['Tennessee', 'Missouri', 'South Carolina', 'Florida', 'Tennessee']",1.65888
55,2,midwest,Kentucky,Houston,62,58,1,2019,3,3,0.8887426415094342,0.907579317073171,0.8868897274633126,0.8655683690280067,1.0042892655367235,1.0433396973224682,0.9303815967523682,0.7747410526315791,1.0389043841336119,1.0112246696035243,"['Tennessee', 'Ole Miss', 'Florida', 'Alabama', 'Tennessee']",-0.8281600000000001
56,1,midwest,North Carolina,Auburn,80,97,0,2019,3,4,0.9239742911153122,1.016651950207469,0.899644827586207,1.1751201856148494,0.9123801104972378,0.9487384615384618,0.9065453566621804,0.9969657831325303,0.9845016299137107,0.825971612903226,"['Clemson', 'Boston College', 'Duke', 'Louisville', 'Duke']",1.03648
57,3,midwest,Houston,Kentucky,58,62,0,2019,3,4,1.000878310940499,1.0618378574670906,0.9961399103139015,1.0567105431309909,1.039963943661972,0.9110175035868008,0.9531425320056901,1.24349898989899,0.8520877846790893,0.9271142857142859,"['SMU', 'Cincinnati', 'Connecticut', 'Memphis', 'Cincinnati']",1.8432000000000002
58,5,midwest,Auburn,Kentucky,77,71,1,2019,4,5,1.0393546961325966,0.9307945879458797,0.9927324444444445,1.142857142857143,1.02968275862069,1.0244210526315791,1.042043319268636,0.7168627450980393,0.9099526066350712,0.57964113785558,"['Tennessee', 'Missouri', 'South Carolina', 'Florida', 'Tennessee']",1.65888
59,2,midwest,Kentucky,Auburn,71,77,0,2019,4,3,0.8887426415094342,0.907579317073171,0.8868897274633126,0.8655683690280067,1.0042892655367235,1.0433396973224682,0.9303815967523682,0.7747410526315791,1.0389043841336119,1.0112246696035243,"['Tennessee', 'Ole Miss', 'Florida', 'Alabama', 'Tennessee']",-0.8281600000000001
60,1,south,Virginia,Gardner-Webb,71,56,1,2019,1,4,1.116782608695652,0.8796186770428018,1.084189029535865,0.9748939729397296,1.207607088607595,1.151844816053512,0.9889569892473121,0.5093509933774836,0.8358042918454937,0.9563024390243905,"['Pittsburgh', 'Syracuse', 'Louisville', 'NC State', 'Florida State']",2.8665600000000007
